nội dung,answer,start_position
"Phương tiện giao thông cơ giới đường bộ (sau đây gọi là xe cơ giới) gồm xe ô tô, máy kéo, rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo; xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự.","xe ô tô, máy kéo, rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo; xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự","{'text':['xe ô tô, máy kéo, rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo; xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự'],'answer_start':[ 72 ]}"
"Trong hệ thống biển báo, đặc điểm của biển báo chỉ dẫn là loại biển hiệu có hình chữ nhật hoặc hình vuông, bên trong có hình vẽ màu trắng được bao quanh bởi nền màu xanh. Biển chỉ dẫn có tác dụng hướng dẫn cho người đi đường biết được thông tin cần thiết khi lưu thông","hình chữ nhật hoặc hình vuông, bên trong có hình vẽ màu trắng được bao quanh bởi nền màu xanh","{'text':['hình chữ nhật hoặc hình vuông, bên trong có hình vẽ màu trắng được bao quanh bởi nền màu xanh'],'answer_start':[ 76 ]}"
"Theo quy định tại Khoản 25 Điều 3 Luật Giao thông đường bộ 2008 thì người điều khiển giao thông được hiểu như sau: Người điều khiển giao thông là cảnh sát giao thông, người được giao nhiệm vụ hướng dẫn giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt","cảnh sát giao thông, người được giao nhiệm vụ hướng dẫn giao thông","{'text':['cảnh sát giao thông, người được giao nhiệm vụ hướng dẫn giao thông'],'answer_start':[ 146 ]}"
Cuộc đua xe chỉ được thực hiện khi được cơ quan có thẩm quyền cấp phép,được cơ quan có thẩm quyền cấp phép,"{'text':['được cơ quan có thẩm quyền cấp phép'],'answer_start':[ 35 ]}"
"Chờ đoàn xe, đoàn người đi qua hết thì tiếp tục lưu thông","Chờ đoàn xe, đoàn người đi qua hết thì tiếp tục lưu thông","{'text':['Chờ đoàn xe, đoàn người đi qua hết thì tiếp tục lưu thông'],'answer_start':[ 0 ]}"
"Không được quay đầu xe ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, gầm cầu vượt, ngầm, trong hầm đường bộ, đường cao tốc, tại nơi đường bộ giao nhau cùng mức với đường sắt, đường hẹp, đường dốc, đoạn đường cong tầm nhìn bị che khuất.",Không được quay đầu xe,"{'text':['Không được quay đầu xe'],'answer_start':[ 0 ]}"
"Ủy ban nhân dân cấp tỉnh quy định các đoạn đường cấm đi, đường đi một chiều, nơi cấm dừng, cấm đỗ, cấm quay đầu xe, lắp đặt biển báo đường bộ thuộc địa phương quản lý.",Uỷ ban nhân dân cấp tỉnh,"{'text':['Uỷ ban nhân dân cấp tỉnh'],'answer_start':[ -1 ]}"
"Người điều khiển phương tiện giao thông không uống rượu, bia trước và trong khi tham gia giao thông.",trước và trong khi tham gia giao thông,"{'text':['trước và trong khi tham gia giao thông'],'answer_start':[ 61 ]}"
"Luật Phòng, chống tác hại của rượu, bia được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIV, kỳ họp thứ 7 thông qua ngày 14/6/2019, có hiệu lực thi hành từ ngày 01/01/2020.",từ ngày 01/01/2020,"{'text':['từ ngày 01/01/2020'],'answer_start':[ 164 ]}"
"Phạt tiền từ 500.000 đồng đến 1.000.000 đồng đối với một trong các hành vi sau đây: Uống rượu, bia tại địa điểm không uống rượu, bia theo quy định của pháp luật; Xúi giục, kích động, lôi kéo người khác uống rượu bia.",Phạt tiền từ 500.000 đồng đến 1.000.000 đồng,"{'text':['Phạt tiền từ 500.000 đồng đến 1.000.000 đồng'],'answer_start':[ 0 ]}"
Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây: Không nhường đường hoặc gây cản trở xe được quyền ưu tiên đang phát tín hiệu ưu tiên đi làm nhiệm vụ; Không chấp hành yêu cầu kiểm tra về nồng độ cồn của người thi hành công vụ;,Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng,"{'text':['Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng'],'answer_start':[ 0 ]}"
"Trên đoạn đường bộ giao nhau cùng mức với đường sắt, cầu đường bộ đi chung với đường sắt, phương tiện giao thông đường sắt được quyền ưu tiên đi trước.",phương tiện giao thông đường sắt,"{'text':['phương tiện giao thông đường sắt'],'answer_start':[ 90 ]}"
"Người điều khiển phương tiện trong hầm đường bộ ngoài việc tuân thủ các quy tắc giao thông quy định tại Luật Giao thông đường bộ còn phải thực hiện các quy định sau đây: Xe cơ giới, xe máy chuyên dùng phải bật đèn; xe thô sơ phải bật đèn hoặc có vật phát sáng báo hiệu; Chỉ được dừng xe, đỗ xe ở nơi quy định.","Xe cơ giới, xe máy chuyên dùng phải bật đèn; xe thô sơ phải bật đèn hoặc có vật phát sáng báo hiệu; Chỉ được dừng xe, đỗ xe ở nơi quy định.","{'text':['Xe cơ giới, xe máy chuyên dùng phải bật đèn; xe thô sơ phải bật đèn hoặc có vật phát sáng báo hiệu; Chỉ được dừng xe, đỗ xe ở nơi quy định.'],'answer_start':[ 170 ]}"
Ngày 30/12/2019 Chính phủ đã ban hành Nghị định số 100/2019/NĐ-CP quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt.,Ngày 30/12/2019,"{'text':['Ngày 30/12/2019'],'answer_start':[ 0 ]}"
"Theo Luật Giao thông đường bộ, Đường cao tốc được giải thích như thế nào? Đường cao tốc là đường dành cho xe cơ giới, có dải phân cách chia đường cho xe chạy hai chiều riêng biệt; không giao nhau cùng mức với một hoặc các đường khác; được bố trí đầy đủ trang thiết bị phục vụ, bảo đảm giao thông liên tục, an toàn, rút ngắn thời gian hành trình và chỉ cho xe ra, vào ở những điểm nhất định.","là đường dành cho xe cơ giới, có dải phân cách chia đường cho xe chạy hai chiều riêng biệt; không giao nhau cùng mức với một hoặc các đường khác;","{'text':['là đường dành cho xe cơ giới, có dải phân cách chia đường cho xe chạy hai chiều riêng biệt; không giao nhau cùng mức với một hoặc các đường khác;'],'answer_start':[ 88 ]}"
"Theo luật sư Nguyễn Trọng Nghĩa (Giám đốc Hệ thống dịch vụ pháp lý toàn quốc Luật sư X), việc phơi thóc, rơm rạ trên đường tiềm ẩn rất nhiều nguy cơ gây mất an toàn giao thông đường bộ. Theo quy định tại điểm b Khoản 1 Điều 12 Nghị định 100/2019/NĐ-CP: Phạt tiền từ 100.000 đồng đến 200.000 đồng đối với cá nhân, từ 200.000 đồng đến 400.000 đồng đối với tổ chức thực hiện hành vi phơi thóc, lúa, rơm, rạ, nông, lâm, hải sản trên đường bộ; đặt máy tuốt lúa trên đường bộ.","Phạt tiền từ 100.000 đồng đến 200.000 đồng đối với cá nhân, từ 200.000 đồng đến 400.000 đồng đối với tổ chức","{'text':['Phạt tiền từ 100.000 đồng đến 200.000 đồng đối với cá nhân, từ 200.000 đồng đến 400.000 đồng đối với tổ chức'],'answer_start':[ 253 ]}"
"Phạt tiền từ 100.000 đồng đến 150.000 đồng đối với hành vi vứt, thải, bỏ đầu, mẩu, tàn thuốc lá không đúng nơi quy định tại khu chung cư, thương mại, dịch vụ hoặc nơi công cộng. Phạt tiền từ 150.000 đồng đến 250.000 đồng đối với hành vi vệ sinh cá nhân (tiểu tiện, đại tiện) không đúng nơi quy định tại khu chung cư, thương mại, dịch vụ hoặc nơi công cộng. Phạt tiền từ 500.000 đồng đến 1.000.000 đồng đối với hành vi vứt, thải, bỏ rác thải, đổ nước thải không đúng nơi quy định tại khu chung cư, thương mại, dịch vụ hoặc nơi công cộng. Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng đối với hành vi vứt, thải, bỏ rác thải trên vỉa hè, lòng đường hoặc vào hệ thống thoát nước thải đô thị; đổ nước thải không đúng quy định trên vỉa hè, lòng đường phố; thải bỏ chất thải nhựa phát sinh từ sinh hoạt vào ao hồ, kênh rạch, sông, suối, biển…",Phạt tiền từ 500.000 đồng đến 1.000.000 đồng,"{'text':['Phạt tiền từ 500.000 đồng đến 1.000.000 đồng'],'answer_start':[ 357 ]}"
"Khoản 1 Điều 21 và điểm h khoản 1 Điều 75 Nghị định số 171/2013/NĐ-CP ngày 13 tháng 11 năm 2013 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt quy định: Phạt cảnh cáo người từ đủ 14 tuổi đến dưới 16 tuổi điều khiển xe mô tô, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự xe mô tô hoặc điều khiển xe ô tô, máy kéo và các loại xe tương tự xe ô tô; tạm giữ phương tiện đến 07 ngày. Điểm a khoản 4 Điều 21; điểm h khoản 1 Điều 75 Nghị định số 171/2013/NĐ-CP quy định: Người từ đủ 16 tuổi đến dưới 18 tuổi điều khiển xe mô tô có dung tích xi lanh từ 50 cm3 trở lên bị phạt tiền từ 400.000 đồng đến 600.000 đồng; tạm giữ phương tiện đến 07 ngày.",bị phạt tiền từ 400.000 đồng đến 600.000 đồng; tạm giữ phương tiện đến 07 ngày,"{'text':['bị phạt tiền từ 400.000 đồng đến 600.000 đồng; tạm giữ phương tiện đến 07 ngày'],'answer_start':[ 620 ]}"
"Để ngăn chặn ngay vi phạm hành chính, người có thẩm quyền xử phạt được phép tạm giữ phương tiện đến 07 ngày trước khi ra quyết định xử phạt đối với những hành vi vi phạm được quy định tại các Điều, Khoản, Điểm sau đây của Nghị định này và phải tuân thủ theo quy định tại Khoản 2 Điều 125 của Luật Xử lý vi phạm hành chính: i) Khoản 1; Điểm a, Điểm c Khoản 4; Khoản 5; Khoản 6; Khoản 7 Điều 21;” Như vậy, người chưa có giấy phép lái xe điều khiển xe máy sẽ bị xử phạt 800.000 đồng đến 1.200.000 đồng và bị tạm giữ phương tiện, giấy tờ có liên quan đến người điều khiển và phương tiện vi phạm.","bị xử phạt 800.000 đồng đến 1.200.000 đồng và bị tạm giữ phương tiện, giấy tờ có liên quan đến người điều khiển và phương tiện vi phạm","{'text':['bị xử phạt 800.000 đồng đến 1.200.000 đồng và bị tạm giữ phương tiện, giấy tờ có liên quan đến người điều khiển và phương tiện vi phạm'],'answer_start':[ 456 ]}"
"Hành vi đi xe đạp dàn hàng ngang sẽ bị xử phạt hành chính theo điểm g khoản 1 Điều 8 Nghị định 100/2019/NĐ-CP như sau: Phạt tiền từ 80.000 đồng đến 100.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây: Điều khiển xe đạp, xe đạp máy đi dàn hàng ngang từ 03 xe trở lên, xe thô sơ khác đi dàn hàng ngang từ 02 xe trở lên; Như vậy, người đi xe đạp dàn hàng 03 trở lên sẽ bị phạt từ 80.000 - 100.000 đồng",bị phạt từ 80.000 - 100.000 đồng,"{'text':['bị phạt từ 80.000 - 100.000 đồng'],'answer_start':[ 403 ]}"
"Theo quy định trên người điều khiển xe đạp khi tham gia giao thông có hành vi lạng lách, đánh võng thì bị phạt tiền từ 300.000 đồng đến 400.000 đồng. Ngoài ra, người điều khiển xe đạp nếu còn tái phạm hoặc vi phạm nhiều lần thì sẽ bị tịch thu phương tiện.",bị phạt tiền từ 300.000 đồng đến 400.000 đồng,"{'text':['bị phạt tiền từ 300.000 đồng đến 400.000 đồng'],'answer_start':[ 103 ]}"
"3. Xe chở khách không được phép xếp hàng hóa, hành lý nhô ra quá kích thước bao ngoài của xe. 4. Xe mô tô, xe gắn máy không được xếp hàng hóa, hành lý vượt quá bề rộng giá đèo hàng theo thiết kế của nhà sản xuất về mỗi bên 0,3 mét, vượt quá phía sau giá đèo hàng là 0,5 mét. Chiều cao xếp hàng hóa tính từ mặt đường xe chạy không vượt quá 1,5 mét. 5. Xe thô sơ không được xếp hàng hóa vượt phía trước và phía sau quá 1/3 chiều dài thân xe và không quá 1,0 mét; không được vượt quá 0,4 mét về mỗi bên bánh xe.""","Chiều cao xếp hàng hóa tính từ mặt đường xe chạy không vượt quá 1,5 mét","{'text':['Chiều cao xếp hàng hóa tính từ mặt đường xe chạy không vượt quá 1,5 mét'],'answer_start':[ 275 ]}"
"Đèn tín hiệu chính điều khiển giao thông được áp dụng ba loại màu tín hiệu: Xanh, vàng và đỏ. - Tín hiệu xanh: Cho phép đi. - Tín hiệu vàng báo hiệu thay đổi tín hiệu của đèn xanh sang đỏ. Tín hiệu vàng bật sáng, phải dừng lại trước vạch dừng, trường hợp đã đi quá vạch dừng hoặc đã quá gần vạch dừng nếu dừng lại thấy nguy hiểm thì được đi tiếp. Trong trường hợp tín hiệu vàng nhấp nháy là được đi nhưng phải giảm tốc độ, chú ý quan sát, nhường đường cho người đi bộ qua đường hoặc các phương tiện khác theo quy định của Luật Giao thông đường bộ.","báo hiệu thay đổi tín hiệu của đèn xanh sang đỏ. Tín hiệu vàng bật sáng, phải dừng lại trước vạch dừng, trường hợp đã đi quá vạch dừng hoặc đã quá gần vạch dừng nếu dừng lại thấy nguy hiểm thì được đi tiếp","{'text':['báo hiệu thay đổi tín hiệu của đèn xanh sang đỏ. Tín hiệu vàng bật sáng, phải dừng lại trước vạch dừng, trường hợp đã đi quá vạch dừng hoặc đã quá gần vạch dừng nếu dừng lại thấy nguy hiểm thì được đi tiếp'],'answer_start':[ 140 ]}"
Các loại dải phân cách trong giao thông đường bộ được quy định Quy chuẩn kỹ thuật quốc gia QCVN 41:2019/BGTVT quy định dải phân cách là bộ phận của đường mà xe không chạy trên đó được và để phân chia phần đường xe chạy thành hai chiều xe chạy riêng biệt hoặc để phân chia phần đường dành cho xe cơ giới và xe thô sơ hoặc của nhiều loại xe khác nhau trên cùng một chiều giao thông. Dải phân cách có 02 loại là dải phân cách cố định và dải phân cách di động. - Dải phân cách cố định là dải phân cách có vị trí cố định trên phần đường xe chạy. Dải phân cách cố định gồm các loại cơ bản sau:,dải phân cách cố định và dải phân cách di động,"{'text':['dải phân cách cố định và dải phân cách di động'],'answer_start':[ 409 ]}"
"Tốc độ tối đa cho phép tham gia giao thông trên đường bộ trong khu vực đông dân cư (trừ đường cao tốc) đối với xe ô tô, máy kéo, xe mô tô: - Trên đường đôi (có dải phân cách giữa), đường một chiều có từ 2 làn xe cơ giới trở lên không quá 60 km/h; - Trên đường hai chiều không có dải phân cách giữa, đường một chiều có 1 làn xe cơ giới không quá 50km/h.",không quá 60 km/h,"{'text':['không quá 60 km/h'],'answer_start':[ 228 ]}"
"Điều 13. Sử dụng làn đường 1. Trên đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường, người điều khiển phương tiện phải cho xe đi trong một làn đường và chỉ được chuyển làn đường ở những nơi cho phép; khi chuyển làn đường phải có tín hiệu báo trước và phải bảo đảm an toàn. 2. Trên đường một chiều có vạch kẻ phân làn đường, xe thô sơ phải đi trên làn đường bên phải trong cùng, xe cơ giới, xe máy chuyên dùng đi trên làn đường bên trái. 3. Phương tiện tham gia giao thông đường bộ di chuyển với tốc độ thấp hơn phải đi về bên phải.",phải cho xe đi trong một làn đường và chỉ được chuyển làn đường ở những nơi cho phép; khi chuyển làn đường phải có tín hiệu báo trước và phải bảo đảm an toàn,"{'text':['phải cho xe đi trong một làn đường và chỉ được chuyển làn đường ở những nơi cho phép; khi chuyển làn đường phải có tín hiệu báo trước và phải bảo đảm an toàn'],'answer_start':[ 154 ]}"
"Nhất sớm Phương tiện giao thông đã đi vào giao lộ trước, tức là bánh trước đã vượt qua khỏi vạch kẻ cho người đi bộ thì sẽ được ưu tiên đi trước. Sau đó mới đến các quy tắc sau. Nhì tiên Theo quy tắc ưu tiên cho các xe theo quy định: xe chữa cháy => xe quân sự => xe cứu thương => xe hộ đê, khắc phục thiên tai, dịch bệnh => xe tang. Với những xe ưu tiên này thì mọi phương tiện giao thông khác phải nhường đường. Tam đèn Sau khi chấp hành 2 quy tắc trên thì người tham gia giao thông bắt đầu tuân thủ theo quy định của đèn: đèn xanh được đi, đèn vàng đi chậm và đèn đỏ dừng lại.","xe chữa cháy => xe quân sự => xe cứu thương => xe hộ đê, khắc phục thiên tai, dịch bệnh => xe tang","{'text':['xe chữa cháy => xe quân sự => xe cứu thương => xe hộ đê, khắc phục thiên tai, dịch bệnh => xe tang'],'answer_start':[ 234 ]}"
"Khi đến gần đường giao nhau, người điều khiển phương tiện phải cho xe giảm tốc độ và nhường đường theo quy định sau đây: 1. Tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến, phải nhường đường cho xe đi đến từ bên phải; 2. Tại nơi đường giao nhau có báo hiệu đi theo vòng xuyến, phải nhường đường cho xe đi bên trái;",phải nhường đường cho xe đi bên trái,"{'text':['phải nhường đường cho xe đi bên trái'],'answer_start':[ 290 ]}"
"(1) Xe chữa cháy đi làm nhiệm vụ; (2) Xe quân sự, xe công an đi làm nhiệm vụ khẩn cấp, đoàn xe có xe cảnh sát dẫn đường; (3) Xe cứu thương đang thực hiện nhiệm vụ cấp cứu; (4) Xe hộ đê, xe đi làm nhiệm vụ khắc phục sự cố thiên tai, dịch bệnh hoặc xe đi làm nhiệm vụ trong tình trạng khẩn cấp theo quy định của pháp luật; (5) Đoàn xe tang. Trong đó:Các loại xe ưu tiên nêu trên (trừ xe tang) khi đi làm nhiệm vụ phải đảm bảo có tín hiệu còi, cờ, đèn theo quy định; không bị hạn chế tốc độ; được phép đi vào đường ngược chiều, các đường khác có thể đi được, kể cả khi có tín hiệu đèn đỏ và chỉ phải tuân theo chỉ dẫn của người điều khiển giao thông. - Khi có tín hiệu của xe được quyền ưu tiên, người tham gia giao thông phải nhanh chóng giảm tốc độ, tránh hoặc dừng lại sát lề đường bên phải để nhường đường. Không được gây cản trở xe được quyền ưu tiên.","(1) Xe chữa cháy đi làm nhiệm vụ; (2) Xe quân sự, xe công an đi làm nhiệm vụ khẩn cấp, đoàn xe có xe cảnh sát dẫn đường; (3) Xe cứu thương đang thực hiện nhiệm vụ cấp cứu; (4) Xe hộ đê, xe đi làm nhiệm vụ khắc phục sự cố thiên tai, dịch bệnh hoặc xe đi làm nhiệm vụ trong tình trạng khẩn cấp theo quy định của pháp luật; (5) Đoàn xe tang","{'text':['(1) Xe chữa cháy đi làm nhiệm vụ; (2) Xe quân sự, xe công an đi làm nhiệm vụ khẩn cấp, đoàn xe có xe cảnh sát dẫn đường; (3) Xe cứu thương đang thực hiện nhiệm vụ cấp cứu; (4) Xe hộ đê, xe đi làm nhiệm vụ khắc phục sự cố thiên tai, dịch bệnh hoặc xe đi làm nhiệm vụ trong tình trạng khẩn cấp theo quy định của pháp luật; (5) Đoàn xe tang'],'answer_start':[ 0 ]}"
"Căn cứ Điểm Khoản 2 Điều 11 Nghị định 100/2019/NĐ-CP quy định phạt tiền từ 100.000 đồng đến 200.000 đồng đối với cá nhân thực hiệ hành vi vi phạm đá bóng, đá cầu, chơi cầu lông hoặc các hoạt động thể thao khác trái phép trên đường bộ; sử dụng bàn trượt, pa-tanh, các thiết bị tương tự trên phần đường xe chạy.",phạt tiền từ 100.000 đồng đến 200.000 đồng đối với cá nhân,"{'text':['phạt tiền từ 100.000 đồng đến 200.000 đồng đối với cá nhân'],'answer_start':[ 62 ]}"
